Close Last Trade Day,Price,Units,Implied Values,Date
Canadian Crude Index,39.18,USD/BBL,,2019-01-16
West Texas Intermediate Cash,51.75,USD/BBL,,2019-01-16
North Sea Brent Blend,60.64,USD/BBL,,2019-01-16
OPEC Basket Price,58.24,USD/BBL,,2019-01-16
"NYMEX Natural Gas: February, 2019",3.5,USD/MMBTU,,2019-01-16
"NYMEX Natural Gas: March, 2019",3.25,USD/MMBTU,,2019-01-16
"NYMEX Natural Gas: April, 2019",2.85,USD/MMBTU,,2019-01-16
"NYMEX Natural Gas: May, 2019",2.8,USD/MMBTU,,2019-01-16
Spectra - Station 2,2.0,CAD/GJ,,2019-01-16
AECO/NGX Spot Price - Settlement,1.98,CAD/GJ,,2019-01-16
AECO/NGX Spot Price - Same Day Volume,1528.5,TJ,,2019-01-16
"AECO/NGX Near-Month: February, 2019",1.79,CAD/GJ,,2019-01-16
NYMEX Today @ 10:00 AM MST,,,,2019-01-16
"WTI February, 2019 Contract",51.94,USD/BBL,,2019-01-16
Near-Month Gas Contract,3.54,USD/MMBTU,,2019-01-16
Daily Average US Exchange Rate,1.33,,,2019-01-16
 Expressed as a basis to WTI,,,,2019-01-16
"NYMEX-WTI: February, 2019",50.51,USD/BBL,,2019-01-15
"NYMEX-WTI: March, 2019",50.8,USD/BBL,,2019-01-15
"NYMEX-WTI: April, 2019",51.14,USD/BBL,,2019-01-15
"NYMEX-WTI: May, 2019",51.55,USD/BBL,,2019-01-15
NYMEX-WTI Year Ago Current Month Contract,64.3,USD/BBL,,2019-01-15
"Net Energy Sweet Closing Price: February, 2019",-2.8,USD/BBL,47.71,2019-01-15
"Net Energy SSP Closing Price: February, 2019",-0.15,USD/BBL,50.36,2019-01-15
"Net Energy WCS Closing Price: February, 2019",-7.75,USD/BBL,42.76,2019-01-15
"Net Energy/NYMEX WCC Closing Price: February, 2019",-9.32,USD/BBL,41.19,2019-01-15
Canadian Crude Index,37.28,USD/BBL,,2019-01-15
West Texas Intermediate Cash,50.26,USD/BBL,,2019-01-15
North Sea Brent Blend,58.99,USD/BBL,,2019-01-15
OPEC Basket Price,58.39,USD/BBL,,2019-01-15
"NYMEX Natural Gas: February, 2019",3.59,USD/MMBTU,,2019-01-15
"NYMEX Natural Gas: March, 2019",3.29,USD/MMBTU,,2019-01-15
"NYMEX Natural Gas: April, 2019",2.91,USD/MMBTU,,2019-01-15
"NYMEX Natural Gas: May, 2019",2.86,USD/MMBTU,,2019-01-15
Spectra - Station 2,1.82,CAD/GJ,,2019-01-15
AECO/NGX Spot Price - Settlement,1.94,CAD/GJ,,2019-01-15
AECO/NGX Spot Price - Same Day Volume,1325.0,TJ,,2019-01-15
"AECO/NGX Near-Month: February, 2019",1.78,CAD/GJ,,2019-01-15
NYMEX Today @ 10:00 AM MST,,,,2019-01-15
"WTI February, 2019 Contract",51.71,USD/BBL,,2019-01-15
Near-Month Gas Contract,3.51,USD/MMBTU,,2019-01-15
Daily Average US Exchange Rate,1.33,,,2019-01-15
 Expressed as a basis to WTI,,,,2019-01-15
"NYMEX-WTI: February, 2019",51.59,USD/BBL,,2019-01-14
"NYMEX-WTI: March, 2019",51.91,USD/BBL,,2019-01-14
"NYMEX-WTI: April, 2019",52.27,USD/BBL,,2019-01-14
"NYMEX-WTI: May, 2019",52.7,USD/BBL,,2019-01-14
NYMEX-WTI Year Ago Current Month Contract,63.8,USD/BBL,,2019-01-14
"Net Energy Sweet Closing Price: February, 2019",-2.55,USD/BBL,49.04,2019-01-14
"Net Energy SSP Closing Price: February, 2019",0.65,USD/BBL,52.24,2019-01-14
"Net Energy WCS Closing Price: February, 2019",-7.45,USD/BBL,44.14,2019-01-14
"Net Energy/NYMEX WCC Closing Price: February, 2019",-9.28,USD/BBL,42.31,2019-01-14
Canadian Crude Index,38.44,USD/BBL,,2019-01-14
West Texas Intermediate Cash,51.59,USD/BBL,,2019-01-14
North Sea Brent Blend,60.48,USD/BBL,,2019-01-14
OPEC Basket Price,60.0,USD/BBL,,2019-01-14
"NYMEX Natural Gas: February, 2019",3.1,USD/MMBTU,,2019-01-14
"NYMEX Natural Gas: March, 2019",2.95,USD/MMBTU,,2019-01-14
"NYMEX Natural Gas: April, 2019",2.77,USD/MMBTU,,2019-01-14
"NYMEX Natural Gas: May, 2019",2.75,USD/MMBTU,,2019-01-14
Spectra - Station 2,1.4,CAD/GJ,,2019-01-14
AECO/NGX Spot Price - Settlement,1.63,CAD/GJ,,2019-01-14
AECO/NGX Spot Price - Same Day Volume,514.2,TJ,,2019-01-14
"AECO/NGX Near-Month: February, 2019",1.58,CAD/GJ,,2019-01-14
NYMEX Today @ 10:00 AM MST,,,,2019-01-14
"WTI February, 2019 Contract",51.18,USD/BBL,,2019-01-14
Near-Month Gas Contract,3.52,USD/MMBTU,,2019-01-14
Daily Average US Exchange Rate,1.33,,,2019-01-14
 Expressed as a basis to WTI,,,,2019-01-14
"NYMEX-WTI: February, 2019",52.59,USD/BBL,,2019-01-11
"NYMEX-WTI: March, 2019",52.91,USD/BBL,,2019-01-11
"NYMEX-WTI: April, 2019",53.28,USD/BBL,,2019-01-11
"NYMEX-WTI: May, 2019",53.73,USD/BBL,,2019-01-11
NYMEX-WTI Year Ago Current Month Contract,63.57,USD/BBL,,2019-01-11
"Net Energy Sweet Closing Price: February, 2019",-2.75,USD/BBL,49.84,2019-01-11
"Net Energy SSP Closing Price: February, 2019",0.95,USD/BBL,53.54,2019-01-11
"Net Energy WCS Closing Price: February, 2019",-7.35,USD/BBL,45.24,2019-01-11
"Net Energy/NYMEX WCC Closing Price: February, 2019",-9.28,USD/BBL,43.31,2019-01-11
Canadian Crude Index,39.34,USD/BBL,,2019-01-11
West Texas Intermediate Cash,52.37,USD/BBL,,2019-01-11
North Sea Brent Blend,61.68,USD/BBL,,2019-01-11
OPEC Basket Price,59.48,USD/BBL,,2019-01-11
"NYMEX Natural Gas: February, 2019",2.97,USD/MMBTU,,2019-01-11
"NYMEX Natural Gas: March, 2019",2.81,USD/MMBTU,,2019-01-11
"NYMEX Natural Gas: April, 2019",2.71,USD/MMBTU,,2019-01-11
"NYMEX Natural Gas: May, 2019",2.7,USD/MMBTU,,2019-01-11
Spectra - Station 2,1.5,CAD/GJ,,2019-01-11
AECO/NGX Spot Price - Settlement,1.57,CAD/GJ,,2019-01-11
AECO/NGX Spot Price - Same Day Volume,1275.7,TJ,,2019-01-11
"AECO/NGX Near-Month: February, 2019",1.49,CAD/GJ,,2019-01-11
NYMEX Today @ 10:00 AM MST,,,,2019-01-11
"WTI February, 2019 Contract",51.77,USD/BBL,,2019-01-11
Near-Month Gas Contract,3.05,USD/MMBTU,,2019-01-11
Daily Average US Exchange Rate,1.32,,,2019-01-11
 Expressed as a basis to WTI,,,,2019-01-11
"NYMEX-WTI: February, 2019",52.36,USD/BBL,,2019-01-10
"NYMEX-WTI: March, 2019",52.69,USD/BBL,,2019-01-10
"NYMEX-WTI: April, 2019",53.07,USD/BBL,,2019-01-10
"NYMEX-WTI: May, 2019",53.51,USD/BBL,,2019-01-10
NYMEX-WTI Year Ago Current Month Contract,62.96,USD/BBL,,2019-01-10
"Net Energy Sweet Closing Price: February, 2019",-3.0,USD/BBL,49.36,2019-01-10
"Net Energy SSP Closing Price: February, 2019",0.45,USD/BBL,52.81,2019-01-10
"Net Energy WCS Closing Price: February, 2019",-8.15,USD/BBL,44.21,2019-01-10
"Net Energy/NYMEX WCC Closing Price: February, 2019",-9.58,USD/BBL,42.78,2019-01-10
Canadian Crude Index,38.83,USD/BBL,,2019-01-10
West Texas Intermediate Cash,52.14,USD/BBL,,2019-01-10
North Sea Brent Blend,61.44,USD/BBL,,2019-01-10
OPEC Basket Price,58.24,USD/BBL,,2019-01-10
"NYMEX Natural Gas: February, 2019",2.98,USD/MMBTU,,2019-01-10
"NYMEX Natural Gas: March, 2019",2.84,USD/MMBTU,,2019-01-10
"NYMEX Natural Gas: April, 2019",2.71,USD/MMBTU,,2019-01-10
"NYMEX Natural Gas: May, 2019",2.7,USD/MMBTU,,2019-01-10
Spectra - Station 2,1.6,CAD/GJ,,2019-01-10
AECO/NGX Spot Price - Settlement,1.65,CAD/GJ,,2019-01-10
AECO/NGX Spot Price - Same Day Volume,1737.0,TJ,,2019-01-10
"AECO/NGX Near-Month: February, 2019",1.49,CAD/GJ,,2019-01-10
NYMEX Today @ 10:00 AM MST,,,,2019-01-10
"WTI February, 2019 Contract",52.29,USD/BBL,,2019-01-10
Near-Month Gas Contract,3.01,USD/MMBTU,,2019-01-10
Daily Average US Exchange Rate,1.32,,,2019-01-10
 Expressed as a basis to WTI,,,,2019-01-10
"NYMEX-WTI: February, 2019",49.78,USD/BBL,,2019-01-09
"NYMEX-WTI: March, 2019",50.11,USD/BBL,,2019-01-09
"NYMEX-WTI: April, 2019",50.49,USD/BBL,,2019-01-09
"NYMEX-WTI: May, 2019",50.93,USD/BBL,,2019-01-09
NYMEX-WTI Year Ago Current Month Contract,61.73,USD/BBL,,2019-01-09
"Net Energy Sweet Closing Price: February, 2019",-3.45,USD/BBL,46.33,2019-01-09
"Net Energy SSP Closing Price: February, 2019",0.0,USD/BBL,49.78,2019-01-09
"Net Energy WCS Closing Price: February, 2019",-9.2,USD/BBL,40.58,2019-01-09
"Net Energy/NYMEX WCC Closing Price: Febrary, 2019",-10.14,USD/BBL,39.64,2019-01-09
Canadian Crude Index,35.93,USD/BBL,,2019-01-09
West Texas Intermediate Cash,49.53,USD/BBL,,2019-01-09
North Sea Brent Blend,58.72,USD/BBL,,2019-01-09
OPEC Basket Price,56.11,USD/BBL,,2019-01-09
"NYMEX Natural Gas: February, 2019",2.97,USD/MMBTU,,2019-01-09
"NYMEX Natural Gas: March, 2019",2.84,USD/MMBTU,,2019-01-09
"NYMEX Natural Gas: April, 2019",2.7,USD/MMBTU,,2019-01-09
"NYMEX Natural Gas: May, 2019",2.68,USD/MMBTU,,2019-01-09
Spectra - Station 2,1.69,CAD/GJ,,2019-01-09
AECO/NGX Spot Price - Settlement,1.94,CAD/GJ,,2019-01-09
AECO/NGX Spot Price - Same Day Volume,1892.4,TJ,,2019-01-09
"AECO/NGX Near-Month: February, 2019",1.5,CAD/GJ,,2019-01-09
NYMEX Today @ 10:00 AM MST,,,,2019-01-09
"WTI February, 2019 Contract",52.34,USD/BBL,,2019-01-09
Near-Month Gas Contract,2.99,USD/MMBTU,,2019-01-09
Daily Average US Exchange Rate,1.33,,,2019-01-09
 Expressed as a basis to WTI,,,,2019-01-09
"NYMEX-WTI: February, 2019",48.52,USD/BBL,,2019-01-08
"NYMEX-WTI: March, 2019",48.82,USD/BBL,,2019-01-08
"NYMEX-WTI: April, 2019",49.17,USD/BBL,,2019-01-08
"NYMEX-WTI: May, 2019",49.6,USD/BBL,,2019-01-08
NYMEX-WTI Year Ago Current Month Contract,61.44,USD/BBL,,2019-01-08
"Net Energy Sweet Closing Price: February, 2019",-3.45,USD/BBL,45.07,2019-01-08
"Net Energy SSP Closing Price: February, 2019",-0.15,USD/BBL,48.37,2019-01-08
"Net Energy WCS Closing Price: February, 2019",-10.15,USD/BBL,38.37,2019-01-08
"Net Energy/NYMEX WCC Closing Price: February, 2019",-10.73,USD/BBL,37.79,2019-01-08
Canadian Crude Index,34.05,USD/BBL,,2019-01-08
West Texas Intermediate Cash,48.22,USD/BBL,,2019-01-08
North Sea Brent Blend,57.33,USD/BBL,,2019-01-08
OPEC Basket Price,56.43,USD/BBL,,2019-01-08
"NYMEX Natural Gas: February, 2019",2.94,USD/MMBTU,,2019-01-08
"NYMEX Natural Gas: March, 2019",2.85,USD/MMBTU,,2019-01-08
"NYMEX Natural Gas: April, 2019",2.68,USD/MMBTU,,2019-01-08
"NYMEX Natural Gas: May, 2019",2.66,USD/MMBTU,,2019-01-08
Spectra - Station 2,1.72,CAD/GJ,,2019-01-08
AECO/NGX Spot Price - Settlement,1.72,CAD/GJ,,2019-01-08
AECO/NGX Spot Price - Same Day Volume,1632.6,TJ,,2019-01-08
"AECO/NGX Near-Month: February, 2019",1.72,CAD/GJ,,2019-01-08
NYMEX Today @ 10:00 AM MST,,,,2019-01-08
"WTI February, 2019 Contract",49.84,USD/BBL,,2019-01-08
Near-Month Gas Contract,2.99,USD/MMBTU,,2019-01-08
Daily Average US Exchange Rate,1.33,,,2019-01-08
 Expressed as a basis to WTI,,,,2019-01-08
"NYMEX-WTI: February, 2019",47.96,USD/BBL,,2019-01-07
"NYMEX-WTI: March, 2019",48.28,USD/BBL,,2019-01-07
"NYMEX-WTI: April, 2019",48.65,USD/BBL,,2019-01-07
"NYMEX-WTI: May, 2019",49.1,USD/BBL,,2019-01-07
NYMEX-WTI Year Ago Current Month Contract,62.01,USD/BBL,,2019-01-07
"Net Energy Sweet Closing Price: February, 2019",-4.0,USD/BBL,43.96,2019-01-07
"Net Energy SSP Closing Price: February, 2019",-0.9,USD/BBL,47.06,2019-01-07
"Net Energy WCS Closing Price: February, 2019",-11.25,USD/BBL,36.71,2019-01-07
"Net Energy/NYMEX WCC Closing Price: February, 2019",-11.56,USD/BBL,36.4,2019-01-07
Canadian Crude Index,32.88,USD/BBL,,2019-01-07
West Texas Intermediate Cash,47.96,USD/BBL,,2019-01-07
North Sea Brent Blend,57.06,USD/BBL,,2019-01-07
OPEC Basket Price,55.14,USD/BBL,,2019-01-07
"NYMEX Natural Gas: February, 2019",3.04,USD/MMBTU,,2019-01-07
"NYMEX Natural Gas: March, 2019",2.91,USD/MMBTU,,2019-01-07
"NYMEX Natural Gas: April, 2019",2.69,USD/MMBTU,,2019-01-07
"NYMEX Natural Gas: May, 2019",2.66,USD/MMBTU,,2019-01-07
Spectra - Station 2,1.5,CAD/GJ,,2019-01-07
AECO/NGX Spot Price - Settlement,1.44,CAD/GJ,,2019-01-07
AECO/NGX Spot Price - Same Day Volume,750.8,TJ,,2019-01-07
"AECO/NGX Near-Month: February, 2019",1.51,CAD/GJ,,2019-01-07
NYMEX Today @ 10:00 AM MST,,,,2019-01-07
"WTI February, 2019 Contract",49.23,USD/BBL,,2019-01-07
Near-Month Gas Contract,2.95,USD/MMBTU,,2019-01-07
Daily Average US Exchange Rate,1.34,,,2019-01-07
 Expressed as a basis to WTI,,,,2019-01-07
"NYMEX-WTI: February, 2019",47.09,USD/BBL,,2019-01-04
"NYMEX-WTI: March, 2019",47.4,USD/BBL,,2019-01-04
"NYMEX-WTI: April, 2019",47.77,USD/BBL,,2019-01-04
"NYMEX-WTI: May, 2019",48.22,USD/BBL,,2019-01-04
NYMEX-WTI Year Ago Current Month Contract,61.63,USD/BBL,,2019-01-04
"Net Energy Sweet Closing Price: February, 2019",-4.0,USD/BBL,43.09,2019-01-04
"Net Energy SSP Closing Price: February, 2019",-0.8,USD/BBL,46.29,2019-01-04
"Net Energy WCS Closing Price: February, 2019",-12.65,USD/BBL,34.44,2019-01-04
"Net Energy/NYMEX WCC Closing Price: February, 2019",-12.65,USD/BBL,34.44,2019-01-04
Canadian Crude Index,31.69,USD/BBL,,2019-01-04
West Texas Intermediate Cash,46.87,USD/BBL,,2019-01-04
North Sea Brent Blend,55.95,USD/BBL,,2019-01-04
OPEC Basket Price,52.95,USD/BBL,,2019-01-04
"NYMEX Natural Gas: February, 2019",2.95,USD/MMBTU,,2019-01-04
"NYMEX Natural Gas: March, 2019",2.81,USD/MMBTU,,2019-01-04
"NYMEX Natural Gas: April, 2019",2.61,USD/MMBTU,,2019-01-04
"NYMEX Natural Gas: May, 2019",2.59,USD/MMBTU,,2019-01-04
Spectra - Station 2,1.6,CAD/GJ,,2019-01-04
AECO/NGX Spot Price - Settlement,1.6,CAD/GJ,,2019-01-04
AECO/NGX Spot Price - Same Day Volume,1636.4,TJ,,2019-01-04
"AECO/NGX Near-Month: February, 2019",1.47,CAD/GJ,,2019-01-04
NYMEX Today @ 10:00 AM MST,,,,2019-01-04
"WTI February, 2019 Contract",48.27,USD/BBL,,2019-01-04
Near-Month Gas Contract,2.99,USD/MMBTU,,2019-01-04
Daily Average US Exchange Rate,1.35,,,2019-01-04
 Expressed as a basis to WTI,,,,2019-01-04
"NYMEX-WTI: February, 2019",46.54,USD/BBL,,2019-01-03
"NYMEX-WTI: March, 2019",46.86,USD/BBL,,2019-01-03
"NYMEX-WTI: April, 2019",47.24,USD/BBL,,2019-01-03
"NYMEX-WTI: May, 2019",47.7,USD/BBL,,2019-01-03
NYMEX-WTI Year Ago Current Month Contract,66.57,USD/BBL,,2019-01-03
"Net Energy Sweet Closing Price: February, 2019",-3.35,USD/BBL,43.19,2019-01-03
"Net Energy SSP Closing Price: February, 2019",-0.75,USD/BBL,45.79,2019-01-03
"Net Energy WCS Closing Price: February, 2019",-12.45,USD/BBL,34.09,2019-01-03
"Net Energy/NYMEX WCC Closing Price: February, 2019",-12.48,USD/BBL,34.06,2019-01-03
Canadian Crude Index,30.67,USD/BBL,,2019-01-03
West Texas Intermediate Cash,46.26,USD/BBL,,2019-01-03
North Sea Brent Blend,54.91,USD/BBL,,2019-01-03
OPEC Basket Price,52.17,USD/BBL,,2019-01-03
"NYMEX Natural Gas: February, 2019",2.96,USD/MMBTU,,2019-01-03
"NYMEX Natural Gas: March, 2019",2.83,USD/MMBTU,,2019-01-03
"NYMEX Natural Gas: April, 2019",2.63,USD/MMBTU,,2019-01-03
"NYMEX Natural Gas: May, 2019",2.61,USD/MMBTU,,2019-01-03
Spectra - Station 2,1.45,CAD/GJ,,2019-01-03
AECO/NGX Spot Price - Settlement,1.21,CAD/GJ,,2019-01-03
AECO/NGX Spot Price - Same Day Volume,1420.4,TJ,,2019-01-03
"AECO/NGX Near-Month: February, 2019",1.38,CAD/GJ,,2019-01-03
NYMEX Today @ 10:00 AM MST,,,,2019-01-03
"WTI February, 2019 Contract",46.44,USD/BBL,,2019-01-03
Near-Month Gas Contract,2.91,USD/MMBTU,,2019-01-03
Daily Average US Exchange Rate,1.36,,,2019-01-03
 Expressed as a basis to WTI,,,,2019-01-03
"NYMEX-WTI: February, 2019",45.41,USD/BBL,,2019-01-02
"NYMEX-WTI: March, 2019",45.72,USD/BBL,,2019-01-02
"NYMEX-WTI: April, 2019",46.08,USD/BBL,,2019-01-02
"NYMEX-WTI: May, 2019",46.51,USD/BBL,,2019-01-02
NYMEX-WTI Year Ago Current Month Contract,60.42,USD/BBL,,2019-01-02
"Net Energy Sweet Closing Price: February, 2019",-7.95,USD/BBL,37.46,2019-01-02
"Net Energy SSP Closing Price: February, 2019",-2.5,USD/BBL,42.91,2019-01-02
"Net Energy WCS Closing Price: February, 2019",-15.65,USD/BBL,29.76,2019-01-02
"Net Energy/NYMEX WCC Closing Price: February, 2019",-15.65,USD/BBL,29.76,2019-01-02
Canadian Crude Index,27.8,USD/BBL,,2019-01-02
West Texas Intermediate Cash,45.41,USD/BBL,,2019-01-02
North Sea Brent Blend,53.8,USD/BBL,,2019-01-02
OPEC Basket Price,,USD/BBL,,2019-01-02
"NYMEX Natural Gas: February, 2019",2.94,USD/MMBTU,,2019-01-02
"NYMEX Natural Gas: March, 2019",2.85,USD/MMBTU,,2019-01-02
"NYMEX Natural Gas: April, 2019",2.68,USD/MMBTU,,2019-01-02
"NYMEX Natural Gas: May, 2019",2.67,USD/MMBTU,,2019-01-02
Spectra - Station 2,1.5,CAD/GJ,,2019-01-02
AECO/NGX Spot Price - Settlement,1.77,CAD/GJ,,2019-01-02
AECO/NGX Spot Price - Same Day Volume,1059.5,TJ,,2019-01-02
"AECO/NGX Near-Month: January, 2019",1.46,CAD/GJ,,2019-01-02
NYMEX Today @ 10:00 AM MST,,,,2019-01-02
"WTI February, 2019 Contract",47.16,USD/BBL,,2019-01-02
Near-Month Gas Contract,2.94,USD/MMBTU,,2019-01-02
Daily Average US Exchange Rate,1.36,,,2019-01-02
 Expressed as a basis to WTI,,,,2019-01-02
"NYMEX-WTI: February, 2019",45.59,USD/BBL,,2018-12-24
"NYMEX-WTI: March, 2019",45.89,USD/BBL,,2018-12-24
"NYMEX-WTI: April, 2019",46.23,USD/BBL,,2018-12-24
"NYMEX-WTI: May, 2019",46.61,USD/BBL,,2018-12-24
NYMEX-WTI Year Ago Current Month Contract,58.36,USD/BBL,,2018-12-24
"Net Energy Sweet Closing Price: February, 2019",-7.95,USD/BBL,37.64,2018-12-24
"Net Energy SSP Closing Price: February, 2019",-2.5,USD/BBL,43.09,2018-12-24
"Net Energy WCS Closing Price: February, 2019",-15.95,USD/BBL,29.64,2018-12-24
"Net Energy/NYMEX WCC Closing Price: February, 2019",-15.95,USD/BBL,29.64,2018-12-24
Canadian Crude Index,27.99,USD/BBL,,2018-12-24
West Texas Intermediate Cash,45.59,USD/BBL,,2018-12-24
North Sea Brent Blend,53.82,USD/BBL,,2018-12-24
"NYMEX Natural Gas: January, 2019",3.82,USD/MMBTU,,2018-12-24
"NYMEX Natural Gas: February, 2019",3.75,USD/MMBTU,,2018-12-24
"NYMEX Natural Gas: March, 2019",3.54,USD/MMBTU,,2018-12-24
"NYMEX Natural Gas: April, 2019",2.92,USD/MMBTU,,2018-12-24
Spectra - Station 2,0.79,CAD/GJ,,2018-12-24
AECO/NGX Spot Price - Settlement,1.67,CAD/GJ,,2018-12-24
AECO/NGX Spot Price - Same Day Volume,821.9,TJ,,2018-12-24
"AECO/NGX Near-Month: January, 2019",1.75,CAD/GJ,,2018-12-24
NYMEX Today @ 10:00 AM MST,,,,2018-12-24
"WTI February, 2019 Contract",44.29,USD/BBL,,2018-12-24
Near-Month Gas Contract,3.54,USD/MMBTU,,2018-12-24
Daily Average US Exchange Rate,1.36,,,2018-12-24
 Expressed as a basis to WTI,,,,2018-12-24
"NYMEX-WTI: February, 2019",45.88,USD/BBL,,2018-12-21
"NYMEX-WTI: March, 2019",46.19,USD/BBL,,2018-12-21
"NYMEX-WTI: April, 2019",46.52,USD/BBL,,2018-12-21
"NYMEX-WTI: May, 2019",46.88,USD/BBL,,2018-12-21
NYMEX-WTI Year Ago Current Month Contract,58.09,USD/BBL,,2018-12-21
"Net Energy Sweet Closing Price: February, 2019",-7.95,USD/BBL,37.93,2018-12-21
"Net Energy SSP Closing Price: February, 2019",-2.5,USD/BBL,43.38,2018-12-21
"Net Energy WCS Closing Price: February, 2019",-15.95,USD/BBL,29.93,2018-12-21
"Net Energy/NYMEX WCC Closing Price: February, 2019",-15.95,USD/BBL,29.93,2018-12-21
Canadian Crude Index,28.24,USD/BBL,,2018-12-21
West Texas Intermediate Cash,45.59,USD/BBL,,2018-12-21
North Sea Brent Blend,54.35,USD/BBL,,2018-12-21
OPEC Basket Price,53.92,USD/BBL,,2018-12-21
"NYMEX Natural Gas: January, 2019",3.58,USD/MMBTU,,2018-12-21
"NYMEX Natural Gas: February, 2019",3.53,USD/MMBTU,,2018-12-21
"NYMEX Natural Gas: March, 2019",3.38,USD/MMBTU,,2018-12-21
"NYMEX Natural Gas: April, 2019",2.84,USD/MMBTU,,2018-12-21
Spectra - Station 2,0.83,CAD/GJ,,2018-12-21
AECO/NGX Spot Price - Settlement,1.75,CAD/GJ,,2018-12-21
AECO/NGX Spot Price - Same Day Volume,1678.7,TJ,,2018-12-21
"AECO/NGX Near-Month: January, 2019",1.81,CAD/GJ,,2018-12-21
NYMEX Today @ 10:00 AM MST,,,,2018-12-21
"WTI February, 2019 Contract",45.91,USD/BBL,,2018-12-21
Near-Month Gas Contract,3.76,USD/MMBTU,,2018-12-21
Daily Average US Exchange Rate,1.35,,,2018-12-21
 Expressed as a basis to WTI,,,,2018-12-21
"NYMEX-WTI: January, 2019",47.2,USD/BBL,,2018-12-20
"NYMEX-WTI: February, 2019",48.17,USD/BBL,,2018-12-20
"NYMEX-WTI: March, 2019",48.49,USD/BBL,,2018-12-20
"NYMEX-WTI: April, 2019",48.83,USD/BBL,,2018-12-20
NYMEX-WTI Year Ago Current Month Contract,57.46,USD/BBL,,2018-12-20
"Net Energy Sweet Closing Price: February, 2019",-9.65,USD/BBL,37.55,2018-12-20
"Net Energy SSP Closing Price: February, 2019",-2.5,USD/BBL,44.7,2018-12-20
"Net Energy WCS Closing Price: February, 2019",-16.0,USD/BBL,31.2,2018-12-20
"Net Energy/NYMEX WCC Closing Price: February, 2019",-16.0,USD/BBL,31.2,2018-12-20
Canadian Crude Index,30.0,USD/BBL,,2018-12-20
West Texas Intermediate Cash,47.91,USD/BBL,,2018-12-20
North Sea Brent Blend,57.24,USD/BBL,,2018-12-20
OPEC Basket Price,55.13,USD/BBL,,2018-12-20
"NYMEX Natural Gas: January, 2019",3.73,USD/MMBTU,,2018-12-20
"NYMEX Natural Gas: February, 2019",3.65,USD/MMBTU,,2018-12-20
"NYMEX Natural Gas: March, 2019",3.51,USD/MMBTU,,2018-12-20
"NYMEX Natural Gas: April, 2019",2.85,USD/MMBTU,,2018-12-20
Spectra - Station 2,0.8,CAD/GJ,,2018-12-20
AECO/NGX Spot Price - Settlement,1.82,CAD/GJ,,2018-12-20
AECO/NGX Spot Price - Same Day Volume,1328.5,TJ,,2018-12-20
"AECO/NGX Near-Month: January, 2019",1.77,CAD/GJ,,2018-12-20
NYMEX Today @ 10:00 AM MST,,,,2018-12-20
"WTI February, 2019 Contract",46.86,USD/BBL,,2018-12-20
Near-Month Gas Contract,3.74,USD/MMBTU,,2018-12-20
Daily Average US Exchange Rate,1.35,,,2018-12-20
 Expressed as a basis to WTI,,,,2018-12-20
"NYMEX-WTI: January, 2019",46.24,USD/BBL,,2018-12-19
"NYMEX-WTI: February, 2019",46.6,USD/BBL,,2018-12-19
"NYMEX-WTI: March, 2019",46.94,USD/BBL,,2018-12-19
"NYMEX-WTI: April, 2019",47.3,USD/BBL,,2018-12-19
NYMEX-WTI Year Ago Current Month Contract,57.16,USD/BBL,,2018-12-19
"Net Energy Sweet Closing Price: February, 2019",-9.65,USD/BBL,36.59,2018-12-19
"Net Energy SSP Closing Price: February, 2019",-2.5,USD/BBL,43.74,2018-12-19
"Net Energy WCS Closing Price: February, 2019",-16.6,USD/BBL,29.64,2018-12-19
"Net Energy/NYMEX WCC Closing Price: February, 2019",-16.6,USD/BBL,29.64,2018-12-19
Canadian Crude Index,28.53,USD/BBL,,2018-12-19
West Texas Intermediate Cash,46.07,USD/BBL,,2018-12-19
North Sea Brent Blend,56.26,USD/BBL,,2018-12-19
OPEC Basket Price,56.08,USD/BBL,,2018-12-19
"NYMEX Natural Gas: January, 2019",3.84,USD/MMBTU,,2018-12-19
"NYMEX Natural Gas: February, 2019",3.74,USD/MMBTU,,2018-12-19
"NYMEX Natural Gas: March, 2019",3.56,USD/MMBTU,,2018-12-19
"NYMEX Natural Gas: April, 2019",2.85,USD/MMBTU,,2018-12-19
Spectra - Station 2,0.74,CAD/GJ,,2018-12-19
AECO/NGX Spot Price - Settlement,1.78,CAD/GJ,,2018-12-19
AECO/NGX Spot Price - Same Day Volume,1029.5,TJ,,2018-12-19
"AECO/NGX Near-Month: January, 2019",1.79,CAD/GJ,,2018-12-19
NYMEX Today @ 10:00 AM MST,,,,2018-12-19
"WTI January, 2019 Contract",47.57,USD/BBL,,2018-12-19
Near-Month Gas Contract,3.65,USD/MMBTU,,2018-12-19
Daily Average US Exchange Rate,1.35,,,2018-12-19
 Expressed as a basis to WTI,,,,2018-12-19
"NYMEX-WTI: January, 2019",49.88,USD/BBL,,2018-12-18
"NYMEX-WTI: February, 2019",50.2,USD/BBL,,2018-12-18
"NYMEX-WTI: March, 2019",50.55,USD/BBL,,2018-12-18
"NYMEX-WTI: April, 2019",50.91,USD/BBL,,2018-12-18
NYMEX-WTI Year Ago Current Month Contract,57.3,USD/BBL,,2018-12-18
"Net Energy Sweet Closing Price: February, 2019",-9.65,USD/BBL,40.23,2018-12-18
"Net Energy SSP Closing Price: February, 2019",-2.5,USD/BBL,47.38,2018-12-18
