Month,Open,High,Low,Last,Change,Settle,Estimated Volume,Prior Day Open Interest,Trade Date,Settlement
MAR_26,,,,,-0.28,54.03,0.0,0.0,2019-03-08,Final
APR_26,,,,,-0.28,54.01,0.0,0.0,2019-03-08,Final
MAY_26,,,,,-0.28,54.01,0.0,0.0,2019-03-08,Final
JUN_26,,,,,-0.28,54.04,0.0,0.0,2019-03-08,Final
JUL_26,,,,,-0.28,54.03,0.0,0.0,2019-03-08,Final
AUG_26,,,,,-0.28,54.03,0.0,0.0,2019-03-08,Final
SEP_26,,,,,-0.28,54.05,0.0,0.0,2019-03-08,Final
OCT_26,,,,,-0.28,54.08,0.0,0.0,2019-03-08,Final
NOV_26,,,,,-0.28,54.05,0.0,0.0,2019-03-08,Final
DEC_26,,,,,-0.28,54.01,0.0,0.0,2019-03-08,Final
JAN_27,,,,,-0.28,54.01,0.0,0.0,2019-03-08,Final
FEB_27,,,,,-0.28,53.99,0.0,0.0,2019-03-08,Final
MAR_27,,,,,-0.28,53.98,0.0,0.0,2019-03-08,Final
APR_27,,,,,-0.28,53.96,0.0,0.0,2019-03-08,Final
MAY_27,,,,,-0.28,53.95,0.0,0.0,2019-03-08,Final
JUN_27,,,,,-0.28,53.97,0.0,0.0,2019-03-08,Final
JUL_27,,,,,-0.28,53.95,0.0,0.0,2019-03-08,Final
AUG_27,,,,,-0.28,53.94,0.0,0.0,2019-03-08,Final
SEP_27,,,,,-0.28,53.95,0.0,0.0,2019-03-08,Final
OCT_27,,,,,-0.28,53.97,0.0,0.0,2019-03-08,Final
NOV_27,,,,,-0.28,53.94,0.0,0.0,2019-03-08,Final
DEC_27,,,,,-0.28,53.88,0.0,0.0,2019-03-08,Final
Total,,,,,,,1450.0,146927.0,2019-03-08,Final
"Last_Updated:_Friday,_08_Mar_2019_10:32_PM_About_This_Report",,,,,,,,,2019-03-08,Final
MAR_19,,,,,0.34,56.71,384.0,14541.0,2019-03-07,Final
APR_19,,,,,0.4,57.16,404.0,9501.0,2019-03-07,Final
MAY_19,,,,,0.37,57.63,0.0,7286.0,2019-03-07,Final
JUN_19,,,,,0.34,58.07,0.0,7326.0,2019-03-07,Final
JUL_19,,,,,0.32,58.43,13.0,7459.0,2019-03-07,Final
AUG_19,,,,,0.29,58.67,13.0,7501.0,2019-03-07,Final
SEP_19,,,,,0.28,58.8,13.0,7197.0,2019-03-07,Final
OCT_19,,,,,0.27,58.86,13.0,7107.0,2019-03-07,Final
NOV_19,,,,,0.26,58.86,13.0,7216.0,2019-03-07,Final
DEC_19,,,,,0.24,58.79,13.0,7660.0,2019-03-07,Final
JAN_20,,,,,0.24,58.7,13.0,4564.0,2019-03-07,Final
FEB_20,,,,,0.23,58.59,13.0,4106.0,2019-03-07,Final
MAR_20,,,,,0.22,58.45,13.0,4106.0,2019-03-07,Final
APR_20,,,,,0.21,58.29,13.0,4050.0,2019-03-07,Final
MAY_20,,,,,0.21,58.14,13.0,4057.0,2019-03-07,Final
JUN_20,,,,,0.2,57.97,13.0,4006.0,2019-03-07,Final
JUL_20,,,,,0.21,57.8,13.0,4051.0,2019-03-07,Final
AUG_20,,,,,0.21,57.65,13.0,4049.0,2019-03-07,Final
SEP_20,,,,,0.21,57.51,13.0,4044.0,2019-03-07,Final
OCT_20,,,,,0.21,57.38,13.0,4463.0,2019-03-07,Final
NOV_20,,,,,0.21,57.25,13.0,4439.0,2019-03-07,Final
DEC_20,,,,,0.21,57.05,13.0,4509.0,2019-03-07,Final
JAN_21,,,,,0.2,56.86,24.0,916.0,2019-03-07,Final
FEB_21,,,,,0.21,56.73,24.0,915.0,2019-03-07,Final
MAR_21,,,,,0.2,56.56,24.0,914.0,2019-03-07,Final
APR_21,,,,,0.2,56.42,24.0,689.0,2019-03-07,Final
MAY_21,,,,,0.19,56.31,24.0,689.0,2019-03-07,Final
JUN_21,,,,,0.19,56.16,24.0,678.0,2019-03-07,Final
JUL_21,,,,,0.19,56.02,24.0,736.0,2019-03-07,Final
AUG_21,,,,,0.19,55.91,24.0,736.0,2019-03-07,Final
SEP_21,,,,,0.2,55.82,24.0,753.0,2019-03-07,Final
OCT_21,,,,,0.19,55.73,24.0,827.0,2019-03-07,Final
NOV_21,,,,,0.18,55.63,24.0,826.0,2019-03-07,Final
DEC_21,,,,,0.18,55.47,24.0,826.0,2019-03-07,Final
JAN_22,,,,,0.17,55.34,0.0,128.0,2019-03-07,Final
FEB_22,,,,,0.17,55.23,0.0,131.0,2019-03-07,Final
MAR_22,,,,,0.16,55.1,0.0,128.0,2019-03-07,Final
APR_22,,,,,0.15,55.0,0.0,129.0,2019-03-07,Final
MAY_22,,,,,0.15,54.93,0.0,127.0,2019-03-07,Final
JUN_22,,,,,0.13,54.83,0.0,112.0,2019-03-07,Final
JUL_22,,,,,0.13,54.76,0.0,111.0,2019-03-07,Final
AUG_22,,,,,0.12,54.69,0.0,111.0,2019-03-07,Final
SEP_22,,,,,0.11,54.63,0.0,112.0,2019-03-07,Final
OCT_22,,,,,0.11,54.59,0.0,111.0,2019-03-07,Final
NOV_22,,,,,0.12,54.54,0.0,112.0,2019-03-07,Final
DEC_22,,,,,0.11,54.47,0.0,111.0,2019-03-07,Final
JAN_23,,,,,0.09,54.41,0.0,83.0,2019-03-07,Final
FEB_23,,,,,0.09,54.37,0.0,83.0,2019-03-07,Final
MAR_23,,,,,0.07,54.32,0.0,83.0,2019-03-07,Final
APR_23,,,,,0.06,54.3,0.0,83.0,2019-03-07,Final
MAY_23,,,,,0.06,54.28,0.0,83.0,2019-03-07,Final
JUN_23,,,,,0.05,54.26,0.0,83.0,2019-03-07,Final
JUL_23,,,,,0.05,54.25,0.0,83.0,2019-03-07,Final
AUG_23,,,,,0.05,54.25,0.0,83.0,2019-03-07,Final
SEP_23,,,,,0.04,54.26,0.0,83.0,2019-03-07,Final
OCT_23,,,,,0.05,54.28,0.0,83.0,2019-03-07,Final
NOV_23,,,,,0.05,54.28,0.0,75.0,2019-03-07,Final
DEC_23,,,,,0.04,54.25,0.0,75.0,2019-03-07,Final
JAN_24,,,,,0.03,54.21,0.0,124.0,2019-03-07,Final
FEB_24,,,,,0.03,54.17,0.0,122.0,2019-03-07,Final
MAR_24,,,,,0.03,54.18,0.0,124.0,2019-03-07,Final
APR_24,,,,,0.02,54.16,0.0,123.0,2019-03-07,Final
MAY_24,,,,,0.01,54.18,0.0,124.0,2019-03-07,Final
JUN_24,,,,,0.01,54.19,0.0,123.0,2019-03-07,Final
JUL_24,,,,,,54.18,0.0,124.0,2019-03-07,Final
AUG_24,,,,,,54.18,0.0,124.0,2019-03-07,Final
SEP_24,,,,,-0.01,54.21,0.0,123.0,2019-03-07,Final
OCT_24,,,,,-0.01,54.26,0.0,124.0,2019-03-07,Final
NOV_24,,,,,-0.02,54.26,0.0,123.0,2019-03-07,Final
DEC_24,,,,,-0.02,54.21,0.0,124.0,2019-03-07,Final
JAN_25,,,,,-0.02,54.22,0.0,10.0,2019-03-07,Final
FEB_25,,,,,-0.02,54.23,0.0,10.0,2019-03-07,Final
MAR_25,,,,,-0.02,54.24,0.0,10.0,2019-03-07,Final
APR_25,,,,,-0.02,54.23,0.0,10.0,2019-03-07,Final
MAY_25,,,,,-0.02,54.23,0.0,10.0,2019-03-07,Final
JUN_25,,,,,-0.02,54.26,0.0,10.0,2019-03-07,Final
JUL_25,,,,,-0.02,54.28,0.0,10.0,2019-03-07,Final
AUG_25,,,,,-0.02,54.28,0.0,10.0,2019-03-07,Final
SEP_25,,,,,-0.02,54.3,0.0,10.0,2019-03-07,Final
OCT_25,,,,,-0.02,54.36,0.0,10.0,2019-03-07,Final
